,bc,gdp,healthspend,eduspend
0,4.9,119.0,2.56332703088,3.92443860234
1,10.3,203.651040923,0.60790041145,4.06687648817
2,13.6,257.175794656,0.801919174976,4.2926744378
3,18.6,280.245644107,1.06242003296,4.1663494011
4,22.8,384.131681277,1.38558405017,3.96779059416
5,21.8,569.940728793,2.85537650336,4.51115989685
6,21.2,622.379654358,2.08009266048,4.08791017532
7,57.5,1175.78898073,2.25841795816,3.28692007065
8,75.1,1453.64277661,2.25632589322,3.05662989616
9,60.1,2709.14293056,2.70645544321,3.23871994019
10,69.3,4114.13654491,2.83357574292,4.32764081944
11,64.0,1757.01197444,2.55856124047,4.29437824474
12,57.0,1774.2920208,2.85227361029,4.07916720923
13,61.4,3467.54474009,2.33485067068,3.9813332014
14,55.9,5583.6161595,4.52025088967,4.40779817954
15,57.1,5491.61441356,5.18835904861,4.21413817234
16,6.2,574.194161137,2.81240339432,4.22374889568
17,17.7,3678.94765447,2.66391720736,3.85640461531
18,44.313944495,2608.88594889,2.33359609958,4.33864274841
19,50.2709053198,7519.65921563,2.71126197892,4.24362209324
20,65.3,7170.68969819,5.06593399237,4.83374023438
21,78.9,5096.25833248,3.66423384815,3.47405004501
22,55.4,13040.3063952,2.95895087366,5.09904003143
23,76.6,13027.2048221,2.73502200839,5.34409999847
24,60.5,621.424826319,1.13753199927,2.7727200985
25,53.1,1625.40776913,1.90505340097,2.71202993393
26,54.9,3124.78401786,1.92271406299,3.24900007248
27,70.8,20059.4520721,5.62066014499,4.59077165405
28,72.3,33982.9504272,5.66144848354,4.91266012192
29,69.6,47654.1872091,8.46612960853,5.76740980148
30,55.1,655.097432603,0.866892751051,3.85399007797
31,55.4,703.67125044,0.846501129775,3.50342011452
32,51.1,2473.08577637,0.864184359644,2.5555100441
33,54.9,7189.69122921,1.08098767355,2.43564009666
34,44.6,21497.3081567,2.46689595361,4.64312768285
35,54.3,406.531740491,0.946712406941,2.12507009506
36,58.5,462.274879845,1.0420671844,1.94014000893
37,55.8,543.082263122,0.987683697897,2.20221996307
38,52.64,618.075883559,0.953752468656,2.05456995964
39,61.2,838.547801702,1.04109010272,4.15619895197
40,61.8,954.396399716,0.810323955737,1.96616995335
41,62.4,1086.80008677,0.786532509304,4.13716379495
42,59.2,15317.1390013,4.84151341569,5.62441015244
43,72.6,3126.36777779,5.02273828699,5.87102985382
44,63.1,6721.83490774,3.86575790035,5.12105989456
45,75.6,23121.566347,6.25281462939,5.84328985214
46,74.6,35589.7129457,7.12785709287,5.80695009232
47,70.4,44382.8797683,7.89670272604,6.40798997879
48,34.3,4187.23289,2.66925096931,4.33676953325
49,55.2,4516.23303047,3.7256042955,4.41879344661
50,18.6,373.553613622,2.30826363464,3.23235011101
51,16.9,609.018608682,2.38575093199,3.50327992439
52,12.9,807.688451017,2.15409383964,4.88943004608
53,17.9,903.464924008,2.251196286,4.38073015213
54,30.7,778.391266016,5.32505165352,5.51379013062
55,35.4,1755.16170904,5.1188939383,4.35254268414
56,65.6,2201.29307779,4.54479495703,4.02446985245
57,53.4,1007.00286888,3.24534361813,5.47342014313
58,58.4,917.364310486,3.49627892206,6.3790397644
59,60.5,1736.92401415,3.40684324429,7.03971004486
60,47.5,1451.66400184,4.03209571641,4.29247340831
61,35.7,3351.96339986,4.979969839,3.93615828199
62,45.8,4494.64064038,7.0802122735,4.26879675106
63,44.4,3333.17954965,2.89985242135,4.11206169076
64,52.8,5561.89823999,3.92832192871,4.23059196355
65,80.3,5808.34054716,3.49265209236,4.86989021301
66,64.4,3852.97775647,4.31297145481,4.11535978317
67,69.2,5932.89967659,3.73070585932,3.65297007561
68,13.8,332.423768678,2.60425299287,4.18200510683
69,17.4,422.479937975,3.74106495452,4.45702981949
70,16.2,574.458089294,3.97117976692,3.93896007538
71,17.0,713.456441627,2.59397373942,4.5001502037
72,15.7,128.635536499,1.40436446415,2.64547991753
73,19.7,115.279880323,1.55512253993,3.00493001938
74,9.1,140.815135598,2.9377964309,3.63169002533
75,21.9,214.23099084,5.49965674447,6.79287004471
76,61.3,2049.61597928,3.64999051299,4.24857504563
77,23.8,299.562237636,1.34014961837,1.66681003571
78,40.0,472.448855863,1.61821874421,4.2859658243
79,50.5,782.692789877,1.44077499871,2.60387992859
80,56.3,1094.57668778,1.2510420111,4.34766004324
81,25.6,583.094838239,0.932629186489,1.9325799942
82,26.0,892.898777661,1.12963812202,3.3299100399
83,29.2,965.368688278,1.07609231355,2.95567989349
84,23.4,1258.92465067,1.33144715668,3.05290007591
85,34.4,1407.40341322,0.938633691401,4.08006826004
86,74.0,24167.8043061,6.51430574632,5.03578996658
87,53.4049567347,4989.63094718,2.82675214141,3.88536500931
88,61.4059170095,9586.88776893,3.31430308402,6.11947011948
89,27.9,245.434384929,2.10214683627,1.61265003681
90,19.0,353.894451706,1.92399023484,1.41506004333
91,15.2,488.357342193,1.84022614447,1.22862005234
92,7.9,166.008015485,2.66748417981,2.64670991898
93,11.1,454.655283385,2.2993551546,1.59294998646
94,4.8,895.877995852,1.18513716484,1.98194003105
95,60.7,4709.92339982,3.48454215779,4.09284384881
96,64.2,9500.83516203,2.51761734723,3.02380990982
97,83.8,954.55229173,1.75984346798,4.150595108
98,86.9,1047.47786287,1.62128422384,4.16748374913
99,84.6,2082.1833625,1.83853832016,3.94203790826
100,89.3,3441.22135457,2.29212345222,4.33042081256
101,89.0,3800.47454161,2.66448262884,4.49177627939
102,89.1,4514.94052013,2.65382009814,4.15779513862
103,88.6,5574.18709337,2.8106526556,4.16386785691
104,87.9,6264.64387794,2.94581376572,4.07171099706
105,76.9,2472.19777586,4.68382686372,3.51120996475
106,78.2,3386.02547761,4.31601707702,3.99500989914
107,79.1,6250.65449979,4.97565293822,4.82615995407
108,25.7,372.189002262,1.52272309662,3.87687669014
109,19.4,750.314608601,2.64660402149,5.07111978531
110,31.4,150.421380493,0.144179749566,4.36518977397
111,20.6,273.486479705,1.20943434521,4.17729822482
112,17.7,311.247895988,1.06259561264,1.60243999958
113,20.4,437.814931178,1.59835646991,4.43779136591
114,44.3,1737.61154643,1.43460850875,1.83577001095
115,44.7,3191.16429881,3.14942137283,4.11529106789
116,96.0,4700.01492585,5.46571205874,4.34559087374
117,96.0,6024.07848678,5.62783732542,4.73357009888
118,80.0,6736.1678185,6.26131067329,5.04482984543
119,81.1,6546.5655542,7.02218996471,6.2891201973
120,82.2,7985.95103533,7.09261705091,6.81181001663
121,76.2,8963.68005199,7.14971400592,6.61588001251
122,12.9,962.918442739,1.35840382469,4.11477994919
123,18.2,1281.38286517,1.88504549258,4.06153911393
124,69.0,4919.62806871,6.6022750634,4.26457646503
125,73.3,2749.46349156,5.50953371683,7.70486021042
126,72.6,4677.70901427,7.08125007803,9.05729007721
127,77.1,5193.48428573,9.88319810118,11.8682899475
128,77.8,5494.92531141,11.2839188895,13.1251602173
129,77.8,5688.66673217,9.70382826985,12.837269783
130,74.3,6092.6139018,10.0710101901,4.59498822539
131,73.7,16506.4532643,10.573662489,4.7075179505
132,78.2,13317.7298342,6.05404437532,3.89868998528
133,86.3,22649.3793401,5.62878442323,3.75272989273
134,9.0,792.963851267,3.5164493955,8.44758987427
135,17.8,974.564237418,4.70273218692,8.27877998352
136,22.5,1234.01335567,5.74563285788,4.47074813633
137,19.0,1586.78013328,5.25888562962,4.25931530521
138,64.7,2802.42404407,2.19249506543,1.91261005402
139,69.8,3008.46904768,2.008738541,1.97100996971
140,61.3,3836.4756486,1.7816058272,4.30263388023
141,72.9,4637.23995945,1.99250876081,2.05123996735
142,73.0,5441.9657488,2.26396484741,4.21765818525
143,71.9,5952.32900678,2.6234673576,4.24069736052
144,69.6,6147.34356916,2.92737564848,4.25367875406
145,49.3130527231,1327.86252476,2.4505548209,4.00687503815
146,56.53938878,3332.66293724,2.49734021817,4.34254055914
147,75.2054755777,3976.56365267,4.6888492418,4.10839942705
148,80.4949056331,9253.9601165,4.8668694809,4.53768014908
149,76.3440197206,966.400803143,1.68918466219,4.2605599165
150,80.6309227492,5406.38653913,2.81148971271,4.23379426534
151,76.248300335,956.031720285,1.68918466219,4.2605599165
152,80.5069493009,5349.23436439,2.81148971271,4.35217971918
153,72.7,2708.55829298,1.42931441752,3.98044703524
154,80.1,5702.16828789,2.95729299851,4.1656999588
155,56.1,1461.01825941,2.2469583953,4.54145968402
156,60.0,1147.78171317,2.06854796498,4.94563007355
157,59.2,1196.7333085,1.9850409875,4.79442977905
158,60.3,2061.61277225,2.02972719676,3.76082992554
159,58.5,3365.70742057,2.15538450092,4.11068159099
160,66.9,2549.88663649,3.75017366471,2.75908994675
161,72.3,3569.33539345,3.70671478123,3.7416601181
162,72.0,4102.0638518,4.46950832355,4.3365258766
163,10.1,1970.25122894,2.16627167819,4.32747289417
164,12.6,22944.9262899,2.59665433056,4.63272897078
165,8.0,192.507643238,1.64046934304,3.52390003204
166,8.4,451.426693297,1.4248635594,4.16610259117
167,63.4,10338.3172626,3.85004155761,4.84485006332
168,8.1,124.050950453,2.38265541314,3.98310995102
169,14.7,161.876953908,2.580334349,4.24763156242
170,28.6,355.588991513,3.73515572844,5.48577022552
171,34.2,573.565960346,2.86756675022,3.96357230341
172,65.0652558912,10063.4753768,3.90166590431,4.08634996414
173,65.0652558912,9739.77777733,3.78015996948,4.01803016663
174,44.0,2076.01330768,3.23557115576,5.85725021362
175,35.0,2259.05579575,2.8544881933,6.24382019043
176,43.1,4079.22884156,2.7919826006,5.84843015671
177,31.77,3651.95829064,2.96520593582,4.30241610079
178,44.3,4550.26709452,2.76214864263,4.2445543243
179,26.8740569878,668.118420728,1.88962631063,4.286700665
180,30.5703448641,1719.51108504,2.50569895845,4.17972541928
181,81.8,22465.6418415,7.75949957277,5.51673984528
182,76.6,33874.7425478,8.20640926961,5.63702011108
183,74.8,34879.7263292,8.26633717221,5.49981021881
184,76.4,45413.0657122,8.16933745952,5.44402980804
185,32.7,4115.03678362,1.15485615569,3.82709002495
186,31.1,10642.4322523,2.21020120307,4.3840848035
187,9.5,637.105521463,1.23486670864,1.46587002277
188,17.5,542.504283101,1.55374665025,1.15810000896
189,13.3,562.568166142,3.43308687645,4.15337991714
190,9.0,484.112864967,4.18162845335,2.76770997047
191,40.5,691.997710105,1.1806088882,2.18107008934
192,47.3,1530.0575209,1.64850457829,2.48430991173
193,45.6,1872.68041607,1.7716621022,3.00363993645
194,35.5,2706.58851158,2.27025857273,3.22237992287
195,53.4,2964.47704802,2.28992913342,4.10248313928
196,66.2,34696.6209167,8.00670183933,4.59152190024
197,25.2,375.880704461,1.58056237554,4.31605993418
198,24.2,929.726628584,3.0442281556,5.2599401474
199,23.5,1234.07990011,3.22305449377,5.75795984268
200,34.7,1587.19087275,3.57552048572,8.1409702301
201,19.5,1827.1013678,3.24216013308,6.03032016754
202,26.7,1441.63645311,2.12888508468,4.06797532002
203,76.2,12538.1788278,5.14607034088,3.364579916
204,54.0,6764.72286695,3.20818175938,4.10638485824
205,66.6,7997.95840314,3.6939529916,4.42626485917
206,43.3,1692.96379628,2.12695041128,4.1314943202
207,54.1,2617.1121913,2.51699340408,4.05130175156
208,6.5,371.320959305,1.31331174704,2.37102007866
209,9.1,303.760966052,0.554865842204,1.84905004501
210,5.6,487.345714209,2.09894617722,2.47139000893
211,7.6,281.403660289,0.515965236902,4.069931397
212,10.3,395.977993855,1.06854651284,4.02589416096
213,14.2,518.59836084,1.84945341102,1.86424005032
214,16.0,615.9409222,1.14512230686,4.48837159042
215,37.3,960.186760126,4.95494348515,8.48414993286
216,34.6,1110.95771735,4.35965864458,8.13973045349
217,34.2,2334.02104216,4.68579605157,3.75227999687
218,42.5,2698.05899106,5.30091141008,3.36104011536
219,34.1,4028.16399148,3.11969809136,3.85672481412
220,28.1,462.481329914,1.67955658737,4.07836013621
221,32.0,505.584820546,1.35559353474,4.12073545357
222,34.5,766.872233425,0.980271294367,4.41788540479
223,18.989198559,327.058143655,1.79637023039,2.95647501945
224,27.6264046504,830.771496347,2.58866832965,4.08974981308
225,70.0351921536,25446.9465784,5.85366922904,4.83087515831
226,61.6,1187.59023311,3.61645900941,4.33378991772
227,65.1,1547.26665864,3.48897018983,4.35111741142
228,73.2,2395.07344192,4.45364758294,4.09560687388
229,86.2,24665.8899983,5.17097067103,4.01555013657
230,79.5,30594.017841,5.58943354988,3.45455002785
231,65.8713855735,1476.23728139,2.47124995657,3.84054005146
232,70.2248362737,5605.08580677,3.07427595933,4.1656999588
233,58.518641436,1226.86511437,2.40213528075,3.40708994865
234,62.0384777776,4484.68329537,2.99125778381,4.15466976166
235,40.2266409466,506.930269977,1.37155876772,3.92574536298
236,39.2248706479,1963.54046093,1.73795794757,6.30311012268
237,28.940116,343.66412406,1.65269649095,2.97515010834
238,37.1982584685,864.251968675,2.17870527786,4.05352020264
239,33.3167688567,402.602723733,1.51319680627,2.98837506771
240,37.8879448522,1264.96846239,1.93190868038,4.07163500786
241,46.9,452.41358467,1.11244300876,4.25025987625
242,53.0,640.600522161,1.02268176579,3.29475998878
243,56.3,816.733776199,1.11061062256,3.09072995186
244,54.8,1022.57759195,1.16274094202,4.32368192576
245,54.8,780.092078954,0.724682589696,4.04984960592
246,52.5,748.184746114,0.963565797355,2.46003007889
247,60.3,1065.6565461,1.01530117558,3.21799993515
248,56.7,1150.34929409,0.934871135912,2.7484600544
249,57.9,1263.48144554,0.803211001451,2.87281990051
250,61.4,1860.62262569,1.12642589404,3.04426002502
251,56.6,2167.85765033,1.00579761754,2.90190005302
252,60.63,2262.72078613,1.01954942127,3.52513003349
253,60.9,3125.2199336,1.03300414021,2.81227993965
254,61.9,3700.52353809,1.14773652139,3.40748000145
255,62.5,3631.6726936,1.15362898676,3.36658000946
256,73.8,1664.26126983,1.86312249956,4.03064012527
257,73.3,1900.04773061,2.18927471621,4.48487997055
258,78.9,3135.18740764,2.3334581983,4.19664001465
259,77.4,7874.48479201,2.47903326276,3.65862011909
260,43.5,4971.00256486,3.55458347126,4.34941291069
261,49.8,2350.19423606,1.9135715688,4.23344643976
262,52.5,5828.76474851,2.49103317099,4.04143219876
263,75.0,32537.957475,5.17116710034,4.10645008087
264,89.0,47641.0137716,5.5962288864,4.48537015915
265,64.8,50815.6416914,5.52072418847,4.52771997452
266,69.1,3706.77770612,2.78734922838,5.42852020264
267,69.0,3581.16001587,2.30426788812,4.25684976578
268,72.5,4489.27277192,2.89373821162,6.19851016998
269,55.9,37299.6441291,6.08761400671,3.61888003349
270,52.0,36441.5044939,6.47273952007,3.59858989716
271,54.3,35781.1700526,6.65745956892,3.48391008377
272,55.8,1939.7221994,4.81069142638,4.10290862712
273,57.1,2970.88905627,4.99418196333,4.17204801906
274,59.3,3800.67592931,6.6959843031,4.56619956173
275,61.2,4423.11735483,5.50930257609,4.20950705255
276,50.7,5291.57565019,2.30571940035,2.62679004669
277,51.0,12102.6868574,2.27155273828,4.13324460522
278,39.3,444.233631051,1.92813908382,6.49428987503
279,45.5,942.743146466,1.64162436872,4.62275979911
280,58.0,1368.49113216,3.50386605777,4.17300420138
281,36.1,799.856611192,7.58292048214,11.1430301666
282,21.5,1128.95151406,9.8920863351,3.94043074387
283,22.3,1264.09774149,10.3647650322,3.87099874748
284,68.6,7115.61094105,3.41579572014,4.48654021899
285,70.6,7959.93923553,3.52049234606,4.29882153394
286,79.3,11947.5772472,2.06942784556,4.40640043463
287,84.5,14219.1935856,2.56792445148,4.13241004944
288,80.2,18657.5212532,2.81846272554,3.90137004852
289,79.6,20917.0302377,3.14560441545,3.96742010117
290,80.0,18338.706366,3.7561417585,4.66981983185
291,47.8,543.110702403,3.27699723469,5.54987001419
292,36.3,1177.97473488,4.19724385537,7.38423013687
293,42.0,1279.76978266,3.63943755251,4.20036811916
294,32.2,324.01969471,1.13056391049,1.50369000435
295,38.4,476.162405721,0.734607085864,2.41408991814
296,49.8,1445.86945014,0.792246279829,4.18779454626
297,81.0358292964,1660.92854822,2.54955963666,3.85399007797
298,83.1859898359,7917.59820764,3.34982018069,4.53768014908
299,27.6738914104,324.558991217,1.46580048879,2.88868999481
300,35.8427761102,912.0026676,1.96354227955,4.05352020264
301,62.7,5334.88024357,3.20634861008,4.02321530009
302,58.0,5436.5875069,3.73559350518,2.5527100563
303,58.0,5424.21794396,3.71197077326,2.66673994064
304,53.7,8403.10931606,3.12341714781,1.77876996994
305,30.4,415.500118698,3.47402104945,11.4919996262
306,40.6,377.45358871,4.37251010756,10.7739896774
307,38.0,348.319866858,3.83131931534,11.8063602448
308,37.3,645.495959217,3.9382917342,13.2715702057
309,47.0,859.828065884,7.0004137369,4.44301193497
310,50.7,1241.20570623,9.08743586732,4.41679653335
311,60.2,1034.18528751,8.08216760272,4.14761496344
312,10.0,182.94275732,1.44875610709,4.09334901173
313,11.4,209.811610871,2.76800142814,4.15725694413
314,20.2,453.339457045,2.83218856563,4.10958877178
315,41.9,11219.4329579,1.74809733904,4.31191177948
316,62.9,9240.64254797,4.30671584749,4.8205499649
317,58.5933398026,1180.20320997,2.34705235959,3.50836992264
318,62.098383605,4359.40106717,2.95669670444,4.08974981308
319,23.0285805661,267.535708843,1.75978964812,2.97515010834
